description,genre
"V. S. Naipaul has always faced the challenges of ""fitting one civilization to another."" In A Writer's People, he takes us into this process of creative and intellectual assimilation, which has shaped both his writing and his life. Naipaul discusses the writers to whom he was exposed early on—Derek Walcott, Gustave Flaubert, and his father, among them—and his first encounters with literary culture. He illuminates the ways in which the writings of Gandhi, Nehru, and other Indian writers both reveal and conceal the authors themselves and their nation. And he brings the same scrutiny to bear on his own life: his early years in Trinidad; the empty spaces in his family history; his ever-evolving reactions to the more complicated India he would encounter for the first time at age thirty.",Biography
"Be Right at Home in the World's Most Powerful Web Development Environment For large-scale web application development, Visual Studio 2005 is the most capable product around. This book shows team members and leaders how to use its power in several key dimensions. You'll master dozens of built-in features for creating a large, high-performance website based on ASP.NET 2.0. You'll work seamlessly with dynamic data, both reading from and writing to databases. And throughout, you'll learn how Visual Studio 2005 supports a more efficient group process in terms of design, development, and deployment. And everything is brought together with the enterprise-scale example, ""ABC Incorporated,"" that runs throughout the book. This is a book no web developer, and no web-dependent organization, should be without. Coverage Includes Reaping the benefits of master pages and themes Generating site maps and other navigational aids automatically Building a shopping cart application for your website Adding search functionality to your website Creating a flexible user environment using Webpart technology Increasing application performance using client-side and server-side scripting technologies Giving users the ability to change the website's theme to meet specific needs Using components and controls to add special effects and user customization Improving team efficiency using modern development and design techniques Monitoring and responding to usage statistics Combining technologies to get the best possible results from large applications Making your site accessible to everyone Master Standards-Based Web Development Techniques New to Visual Studio 2005 Discover How Visual Studio 2005 Solves Team Development Issues, Such as Source Code Control and Application Design Simplify Database Application Development without Compromising Security or Reliability",Computers
"Help move your organization to greater discipline, focus, and value Association leaders must be disciplined strategists, focusing the organizations they serve on value they can deliver and structuring accordingly to compete in the ""new normal."" Road to Relevance is the follow-up and complementary companion to the bestselling Race for Relevance: 5 Radical Changes for Associations, which identified six challenges that forever changed the association environment and five needed changes. Authors Harrison Coerver and Mary Byers, CAE, provide real insight into how to adapt the strategies of Road to Relevance to your organization's circumstances. Clearly explaining the five key strategies, the authors show you how to: Identify strengths that deserve a concentration of resources Achieve a coordinated product and service portfolio Root out marginal or underperforming activities that are negatively impacting your organization Case studies, adaptable examples, and provocative questions help you use the insights from Road to Relevance to lead your organization to an ever-more-valued, sustainable, and relevant future.",Business
"Summary Humans learn best from feedback—we are encouraged to take actions that lead to positive results while deterred by decisions with negative consequences. This reinforcement process can be applied to computer programs allowing them to solve more complex problems that classical programming cannot. Deep Reinforcement Learning in Action teaches you the fundamental concepts and terminology of deep reinforcement learning, along with the practical skills and techniques you’ll need to implement it into your own projects. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the technology Deep reinforcement learning AI systems rapidly adapt to new environments, a vast improvement over standard neural networks. A DRL agent learns like people do, taking in raw data such as sensor input and refining its responses and predictions through trial and error. About the book Deep Reinforcement Learning in Action teaches you how to program AI agents that adapt and improve based on direct feedback from their environment. In this example-rich tutorial, you’ll master foundational and advanced DRL techniques by taking on interesting challenges like navigating a maze and playing video games. Along the way, you’ll work with core algorithms, including deep Q-networks and policy gradients, along with industry-standard tools like PyTorch and OpenAI Gym. What's inside Building and training DRL networks The most popular DRL algorithms for learning and problem solving Evolutionary algorithms for curiosity and multi-agent learning All examples available as Jupyter Notebooks About the reader For readers with intermediate skills in Python and deep learning. About the author Alexander Zai is a machine learning engineer at Amazon AI. Brandon Brown is a machine learning and data analysis blogger. Table of Contents PART 1 - FOUNDATIONS 1. What is reinforcement learning? 2. Modeling reinforcement learning problems: Markov decision processes 3. Predicting the best states and actions: Deep Q-networks 4. Learning to pick the best policy: Policy gradient methods 5. Tackling more complex problems with actor-critic methods PART 2 - ABOVE AND BEYOND 6. Alternative optimization methods: Evolutionary algorithms 7. Distributional DQN: Getting the full story 8.Curiosity-driven exploration 9. Multi-agent reinforcement learning 10. Interpretable reinforcement learning: Attention and relational models 11. In conclusion: A review and roadmap",Computers
"Malcolm Gladwell cuestiona el modo en que pensamos sobre obstáculos y desventajas, y ofrece una nueva interpretación de lo que significa hacer frente a una situación adversa. ¿Estamos seguros de que el poderoso siempre lleva las de ganar? Un libro magníficamente escrito sobre las poderosas ventajas de lo poco convencional. Hace 3 000 años, en un campo de batalla de la antigua Palestina, un pastor derribó a un poderoso guerrero valiéndose únicamente de una piedra y una honda. Desde entonces los nombres de David y Goliat se han convertido en el símbolo de la lucha entre el desvalido y el gigante. La victoria de David fue inverosímil y milagrosa. No debería haber ganado. ¿O sí? En David y Goliat, Malcolm Gladwell cuestiona el modo en que pensamos sobre obstáculos y desventajas, y ofrece una nueva interpretación de lo que significa ser discriminado, vivir con una discapacidad, perder a un padre o sufrir cualquier otro tipo de desgracia. Gladwell analiza el conflicto de Irlanda del Norte, la mente de los investigadores del cáncer y la de los líderes de los derechos civiles, el alto precio de la venganza y la dinámica de las clases que obtienen buenos resultados, y de las que no, para demostrar cuánto de lo que hay de bello y de importante en el mundo se origina en el sufrimiento y en la adversidad. En la tradición de sus anteriores bestsellers -Blink. Inteligencia intuitiva, La clave del éxito, Fueras de serie (Outliers) y Lo que vio el perro-, Gladwell recurre a la historia, a la psicología, a la ciencia y a su maestría como narrador para dar nueva forma al modo en que concebimos el mundo que nos rodea. ENGLISH DESCRIPTION Explore the power of the underdog in Malcolm Gladwell's dazzling examination of success, motivation, and the role of adversity in shaping our lives. Three thousand years ago on a battlefield in ancient Palestine, a shepherd boy felled a mighty warrior with nothing more than a stone and a sling, and ever since then the names of David and Goliath have stood for battles between underdogs and giants. David's victory was improbable and miraculous. He shouldn't have won. Or should he have? In David and Goliath, Malcolm Gladwell challenges how we think about obstacles and disadvantages, offering a new interpretation of what it means to be discriminated against, or cope with a disability, or lose a parent, or attend a mediocre school, or suffer from any number of other apparent setbacks. Gladwell begins with the real story of what happened between the giant and the shepherd boy those many years ago. From there, David and Goliath examines Northern Ireland's Troubles, the minds of cancer researchers and civil rights leaders, murder and the high costs of revenge, and the dynamics of successful and unsuccessful classrooms---all to demonstrate how much of what is beautiful and important in the world arises from what looks like suffering and adversity. In the tradition of Gladwell's previous bestsellers---The Tipping Point, Blink, Outliers and What the Dog Saw---David and Goliath draws upon history, psychology, and powerful storytelling to reshape the way we think of the world around us.",Psychology
"""Unadulterated fun . . . witty, frequently hilarious. . . Pratchett parodies everything in sight."" —San Francisco Chronicle From bestselling author Sir Terry Pratchett, the world’s foremost practitioner of satire and send-up, this delightful installment in the Discworld series finds Granny Weatherwax and her tiny coven of witches faced with their biggest challenge yet as an invasion of elves threatens to disrupt Lancres' dreamy Midsummer Night — and throw their world into chaos. It's a dreamy Midsummer Night in the Kingdom of Lancre, and music and romance fill the air. But on this night, dreams are especially powerful — strong enough to pull down the wall between realities. Magic and mischief are afoot, threatening to spoil the royal wedding of King Verence and his favorite witch, Magrat Garlick. The witches return home to discover that elves have invaded Lancre, particularly nasty creatures. Soon it won't be only champagne that's flowing through the streets . . . The Discworld novels can be read in any order, but Lords and Ladies is the fourth book in the Witches series. The Witches collection includes: Equal Rites Wyrd Sisters Witches Abroad Lords and Ladies Maskerade Carpe Jugulum",Fiction
"El escalofriante caso de una joven en apariencia insignificante que se transformó en un ser de poderes anormales, sembrando el terror en su ciudad. Con pulo mágico para mantener la tensión a lo largo de todo el libro, Stephen King narra la atormentada adolescencia de Carrie, y nos envuelve en una atmósfera sobrecogedora cuando la muchacha realiza una seie de descubrimientos hasta llegar al terrible momento de la vengaza. esta novela fue llevada al cina y obtuvo un imenso éxito de público y de crítica.",Fiction
"From the New York Times bestselling author of Start With Why and Leaders Eat Last, a bold framework for leadership in today’s ever-changing world. How do we win a game that has no end? Finite games, like football or chess, have known players, fixed rules and a clear endpoint. The winners and losers are easily identified. Infinite games, games with no finish line, like business or politics, or life itself, have players who come and go. The rules of an infinite game are changeable while infinite games have no defined endpoint. There are no winners or losers—only ahead and behind. The question is, how do we play to succeed in the game we’re in? In this revelatory book, Simon Sinek offers a framework for leading with an infinite mindset. On one hand, none of us can resist the fleeting thrills of a promotion earned or a tournament won, yet these rewards fade quickly. In pursuit of a Just Cause, we will commit to a vision of a future world so appealing that we will build it week after week, month after month, year after year. Although we do not know the exact form this world will take, working toward it gives our work and our life meaning. Leaders who embrace an infinite mindset build stronger, more innovative, more inspiring organizations. Ultimately, they are the ones who lead us into the future.",Business
"Transform teacher-parent relationships into a strategy for children′s success! While most parents strive to support their children with the best parenting practices, both teachers and parents often find themselves struggling to reconcile conflicts that can result in hostility, defensiveness, and communication breakdowns. In addition, negative public constructions of parents perpetuate this dilemma, particularly for those parents who are already marginalized through poverty or language barriers. Working from research in three key areas-parent development and skills, social and historical family influences, and parent-school relationships-educator (and parent) Gwen L. Rudney offers teachers: Useful interpretations of parent beliefs and actions Compelling insight into what parents expect from teachers Key ideas that characterize the struggles that parents face while raising children Practical strategies designed to lead to community, trust-building, collaboration, gratitude, and friendship with parents Straightforward chapters offer teachers everything from theory to commonsense strategies for working with parents to improve life and learning for all children.",Education
"The extensive monetary policy of central banks during the Great Recession has re-newed the interest in the relation between (possibly) non-neutral money and wealth and income inequality. In this work, a dynamic general equilibrium model approach is used to study the effects of an inflation rate change on inequality. These effects are found to be temporary and to work through two channels: First, at the consumer level, intertemporal substitution effects differ even under an identical policy rule of all agents due to individual skill and capital endowments. This implies a transitory effect of inflation rate changes on inequality. Second, an indirect effect results from different capital intensities in industrial branches and capital-labour substitution effects. This may be endorsed by varying individual skill levels. The theoretical model‘s implications are tested empirically in a time series analysis on US data.",Business
